Time, Normal Cells, Abnormal Cells, Invasive Cells, Average Stickiness, Average Jump Rate, Membrane Density
2.00667,95466,366,0,0.788001,1.66667,1,
2.01333,95465,368,0,0.788011,1.66576,1,
2.02,95463,371,0,0.790405,1.66307,1,
2.02667,95460,376,0,0.790436,1.67287,1,
2.03333,95459,378,0,0.79126,1.66402,1,
2.04,95457,381,0,0.791336,1.66404,1,
2.04667,95457,381,0,0.788866,1.66404,1,
2.05333,95457,382,0,0.790908,1.68848,1,
2.06,95457,382,0,0.790908,1.68848,1,
2.06667,95457,382,0,0.790908,1.68848,1,
2.07333,95457,383,0,0.788706,1.69191,1,
2.08,95457,384,0,0.791409,1.70052,1,
2.08667,95457,385,0,0.791195,1.6961,1,
2.09333,95456,387,0,0.791809,1.69251,1,
2.1,95453,395,0,0.78904,1.70127,1,
2.10667,95450,401,0,0.788567,1.71072,1,
2.11333,95448,403,0,0.788327,1.7072,1,
2.12,95448,407,0,0.78595,1.71007,1,
2.12667,95448,414,0,0.785429,1.73913,1,
2.13333,95446,418,0,0.783055,1.74402,1,
2.14,95445,422,0,0.784435,1.75118,1,
2.14667,95444,427,0,0.782416,1.74941,1,
2.15333,95443,432,0,0.784389,1.75694,1,
2.16,95442,436,0,0.785104,1.75229,1,
2.16667,95441,439,0,0.785507,1.7631,1,
2.17333,95440,441,0,0.785718,1.7619,1,
2.18,95439,442,0,0.783671,1.76018,1,
2.18667,95439,442,0,0.784983,1.77149,1,
2.19333,95439,442,0,0.784983,1.77149,1,
2.2,95439,443,0,0.784954,1.77652,1,
2.20667,95438,444,0,0.783826,1.77928,1,
2.21333,95438,445,0,0.785984,1.79326,1,
2.22,95437,447,0,0.785268,1.79418,1,
2.22667,95433,454,0,0.783733,1.79956,1,
2.23333,95431,459,0,0.785367,1.81917,1,
2.24,95430,462,0,0.783353,1.81385,1,
2.24667,95430,464,0,0.784122,1.81681,1,
2.25333,95427,472,0,0.780955,1.81356,1,
2.26,95424,478,0,0.781715,1.83473,1,
2.26667,95421,486,0,0.77955,1.85185,1,
2.27333,95417,496,0,0.781432,1.86089,1,
2.28,95412,504,0,0.781644,1.86905,1,
2.28667,95409,508,0,0.778232,1.86417,1,
2.29333,95408,511,0,0.781287,1.86106,1,
2.3,95408,511,0,0.781287,1.86106,1,
2.30667,95408,513,0,0.780479,1.8655,1,
2.31333,95407,515,0,0.782057,1.86214,1,
2.32,95407,515,0,0.780344,1.85825,1,
2.32667,95407,515,0,0.781934,1.85825,1,
2.33333,95407,517,0,0.781841,1.86654,1,
2.34,95406,518,0,0.780084,1.87259,1,
2.34667,95406,519,0,0.78216,1.88632,1,
2.35333,95406,523,0,0.781314,1.8891,1,
2.36,95404,532,0,0.781666,1.8985,1,
2.36667,95403,536,0,0.779743,1.89552,1,
2.37333,95402,537,0,0.77817,1.88268,1,
2.38,95401,542,0,0.777007,1.89668,1,
2.38667,95400,548,0,0.775632,1.90511,1,
2.39333,95396,553,0,0.774633,1.89873,1,
2.4,95393,565,0,0.777642,1.91504,1,
2.40667,95389,573,0,0.775889,1.91623,1,
2.41333,95389,575,0,0.775691,1.9113,1,
2.42,95386,582,0,0.776192,1.90206,1,
2.42667,95385,583,0,0.777351,1.90395,1,
2.43333,95385,586,0,0.776641,1.90614,1,
2.44,95385,588,0,0.776333,1.90136,1,
2.44667,95385,588,0,0.776333,1.90136,1,
2.45333,95385,588,0,0.776333,1.90136,1,
2.46,95385,589,0,0.774944,1.89813,1,
2.46667,95384,591,0,0.774733,1.90694,1,
2.47333,95384,592,0,0.77468,1.91216,1,
2.48,95382,598,0,0.774636,1.93478,1,
2.48667,95377,606,0,0.775355,1.94224,1,
2.49333,95376,610,0,0.774247,1.93443,1,
2.5,95375,612,0,0.774138,1.92974,1,
2.50667,95372,619,0,0.773056,1.93053,1,
2.51333,95369,626,0,0.771992,1.94569,1,
2.52,95366,633,0,0.771368,1.94945,1,
2.52667,95364,640,0,0.771017,1.95938,1,
2.53333,95358,650,0,0.770801,1.95538,1,
2.54,95353,657,0,0.7714,1.96347,1,
2.54667,95351,661,0,0.77104,1.9652,1,
2.55333,95348,666,0,0.772022,1.97147,1,
2.56,95347,668,0,0.771376,1.96257,1,
2.56667,95347,670,0,0.770593,1.96567,1,
2.57333,95346,671,0,0.771836,1.96423,1,
2.58,95346,671,0,0.771836,1.96423,1,
2.58667,95346,671,0,0.771836,1.96423,1,
2.59333,95346,674,0,0.771709,1.96736,1,
2.6,95345,676,0,0.770136,1.97485,1,
2.60667,95344,679,0,0.770761,1.99116,1,
2.61333,95343,683,0,0.770426,1.99414,1,
2.62,95341,691,0,0.77143,2.00434,1,
2.62667,95340,696,0,0.769009,2.00431,1,
2.63333,95340,696,0,0.769149,1.99856,1,
2.64,95336,703,0,0.768342,1.99289,1,
2.64667,95331,711,0,0.766112,1.98031,1,
2.65333,95330,720,0,0.768509,1.98889,1,
2.66,95327,728,0,0.76738,2.01099,1,
2.66667,95322,738,0,0.768026,2.00678,1,
2.67333,95319,742,0,0.765953,2.0027,1,
2.68,95316,751,0,0.769187,2.01198,1,
2.68667,95312,755,0,0.768818,2.00795,1,
2.69333,95312,757,0,0.768283,2.00264,1,
2.7,95311,763,0,0.767474,2.02359,1,
2.70667,95311,763,0,0.767052,2.01835,1,
2.71333,95311,767,0,0.769341,2.02999,1,
2.72,95310,768,0,0.767497,2.02604,1,
2.72667,95309,769,0,0.767838,2.02601,1,
2.73333,95308,772,0,0.768881,2.03627,1,
2.74,95305,777,0,0.769009,2.04505,1,
2.74667,95301,786,0,0.768234,2.05089,1,
2.75333,95299,791,0,0.769134,2.06321,1,
2.76,95299,790,0,0.768283,2.05823,1,
2.76667,95298,795,0,0.767998,2.06415,1,
2.77333,95295,801,0,0.765345,2.05993,1,
2.78,95293,811,0,0.766453,2.06042,1,
2.78667,95291,815,0,0.767874,2.06871,1,
2.79333,95288,825,0,0.766422,2.07152,1,
2.8,95284,831,0,0.766338,2.07461,1,
2.80667,95276,842,0,0.766236,2.0772,1,
2.81333,95274,844,0,0.767032,2.09005,1,
2.82,95272,851,0,0.766369,2.08108,1,
2.82667,95271,853,0,0.76641,2.08558,1,
2.83333,95270,858,0,0.766833,2.0979,1,
2.84,95269,861,0,0.766566,2.10105,1,
2.84667,95269,861,0,0.764085,2.09408,1,
2.85333,95269,861,0,0.765808,2.09988,1,
2.86,95268,862,0,0.766573,2.10557,1,
2.86667,95268,863,0,0.76493,2.10545,1,
2.87333,95267,870,0,0.767159,2.11609,1,
2.88,95262,875,0,0.766232,2.11886,1,
2.88667,95261,878,0,0.766367,2.11959,1,
2.89333,95259,882,0,0.766184,2.13152,1,
2.9,95256,886,0,0.764869,2.12415,1,
2.90667,95256,894,0,0.765217,2.12416,1,
2.91333,95248,909,0,0.763913,2.12761,1,
2.92,95243,916,0,0.765658,2.131,1,
2.92667,95241,925,0,0.765995,2.12973,1,
2.93333,95239,931,0,0.765791,2.13319,1,
2.94,95236,935,0,0.765831,2.13262,1,
2.94667,95235,937,0,0.765746,2.1302,1,
2.95333,95233,943,0,0.764269,2.12301,1,
2.96,95232,949,0,0.765438,2.13172,1,
2.96667,95231,952,0,0.765104,2.1313,1,
2.97333,95230,955,0,0.763915,2.12984,1,
2.98,95230,955,0,0.762347,2.12356,1,
2.98667,95230,956,0,0.76467,2.13703,1,
2.99333,95230,958,0,0.764545,2.13883,1,
3,95228,963,0,0.764837,2.14226,1,
3.00667,95227,967,0,0.763841,2.15098,1,
3.01333,95226,971,0,0.763885,2.15448,1,
3.02,95224,975,0,0.764122,2.16308,1,
3.02667,95221,979,0,0.763587,2.1665,1,
3.03333,95219,987,0,0.761277,2.1692,1,
3.04,95218,992,0,0.762102,2.1623,1,
3.04667,95211,1007,0,0.76244,2.16783,1,
3.05333,95206,1019,0,0.762212,2.17174,1,
3.06,95204,1027,0,0.763383,2.18598,1,
3.06667,95202,1030,0,0.763599,2.18932,1,
3.07333,95199,1035,0,0.7615,2.18937,1,
3.08,95195,1042,0,0.763339,2.18906,1,
3.08667,95190,1050,0,0.76241,2.18667,1,
3.09333,95189,1054,0,0.762504,2.18975,1,
3.1,95189,1053,0,0.761902,2.18424,1,
3.10667,95188,1056,0,0.761148,2.18277,1,
3.11333,95188,1057,0,0.759979,2.18638,1,
3.12,95184,1061,0,0.762054,2.1951,1,
3.12667,95184,1064,0,0.760011,2.18703,1,
3.13333,95181,1071,0,0.760929,2.19888,1,
3.14,95180,1074,0,0.760318,2.20484,1,
3.14667,95179,1079,0,0.760829,2.21316,1,
3.15333,95178,1082,0,0.759263,2.21442,1,
3.16,95177,1084,0,0.759743,2.22048,1,
3.16667,95173,1094,0,0.758526,2.21481,1,
3.17333,95168,1102,0,0.756688,2.21779,1,
3.18,95164,1113,0,0.757289,2.22642,1,
3.18667,95158,1124,0,0.756362,2.22865,1,
3.19333,95155,1135,0,0.756166,2.23524,1,
3.2,95154,1137,0,0.755357,2.23307,1,
3.20667,95152,1143,0,0.757081,2.23622,1,
3.21333,95150,1149,0,0.756204,2.23673,1,
3.22,95149,1153,0,0.756669,2.23851,1,
3.22667,95148,1156,0,0.756558,2.23962,1,
3.23333,95147,1160,0,0.755431,2.23707,1,
3.24,95145,1163,0,0.756008,2.24248,1,
3.24667,95143,1165,0,0.754014,2.23348,1,
3.25333,95143,1166,0,0.756215,2.24357,1,
3.26,95139,1173,0,0.755645,2.24126,1,
3.26667,95137,1178,0,0.753801,2.24194,1,
3.27333,95133,1189,0,0.755336,2.26577,1,
3.28,95129,1194,0,0.756075,2.27806,1,
3.28667,95125,1199,0,0.755702,2.2844,1,
3.29333,95124,1202,0,0.752316,2.26872,1,
3.3,95122,1214,0,0.753242,2.27018,1,
3.30667,95116,1224,0,0.754925,2.2835,1,
3.31333,95113,1229,0,0.754459,2.27665,1,
3.32,95107,1243,0,0.753362,2.28479,1,
3.32667,95105,1248,0,0.752403,2.28526,1,
3.33333,95102,1258,0,0.752598,2.29014,1,
3.34,95099,1265,0,0.753282,2.29091,1,
3.34667,95098,1268,0,0.751101,2.28312,1,
3.35333,95097,1271,0,0.752638,2.28875,1,
3.36,95097,1271,0,0.750497,2.28088,1,
3.36667,95096,1275,0,0.750657,2.28392,1,
3.37333,95096,1278,0,0.751819,2.2856,1,
3.38,95094,1279,0,0.750405,2.2846,1,
3.38667,95091,1287,0,0.750151,2.29215,1,
3.39333,95090,1290,0,0.75169,2.2938,1,
3.4,95089,1296,0,0.75067,2.29707,1,
3.40667,95087,1301,0,0.751439,2.30438,1,
3.41333,95081,1308,0,0.751078,2.31346,1,
3.42,95079,1310,0,0.751066,2.31832,1,
3.42667,95077,1317,0,0.75108,2.32422,1,
3.43333,95074,1326,0,0.749741,2.32051,1,
3.44,95067,1339,0,0.749083,2.32263,1,
3.44667,95063,1347,0,0.748714,2.32517,1,
3.45333,95059,1358,0,0.747906,2.31811,1,
3.46,95054,1366,0,0.749073,2.31406,1,
3.46667,95051,1377,0,0.74828,2.32389,1,
3.47333,95050,1380,0,0.747919,2.32101,1,
3.48,95048,1386,0,0.749072,2.32035,1,
3.48667,95048,1388,0,0.748158,2.31988,1,
3.49333,95048,1392,0,0.748472,2.32328,1,
3.5,95047,1394,0,0.748422,2.32281,1,
3.50667,95047,1396,0,0.748893,2.32163,1,
3.51333,95045,1400,0,0.748419,2.32286,1,
3.52,95043,1408,0,0.747506,2.32386,1,
3.52667,95043,1411,0,0.74832,2.3253,1,
3.53333,95042,1415,0,0.747803,2.32792,1,
3.54,95041,1418,0,0.746543,2.32863,1,
3.54667,95036,1428,0,0.748076,2.34104,1,
3.55333,95035,1432,0,0.74759,2.34427,1,
3.56,95033,1437,0,0.746508,2.34656,1,
3.56667,95031,1447,0,0.746951,2.35384,1,
3.57333,95025,1457,0,0.747215,2.35278,1,
3.58,95022,1461,0,0.746411,2.35455,1,
3.58667,95014,1477,0,0.746748,2.35477,1,
3.59333,95012,1489,0,0.747336,2.36132,1,
3.6,95006,1494,0,0.74675,2.37015,1,
3.60667,95004,1500,0,0.745889,2.36733,1,
3.61333,95003,1502,0,0.747142,2.36684,1,
3.62,95003,1503,0,0.745523,2.36128,1,
3.62667,95000,1509,0,0.746382,2.36846,1,
3.63333,95000,1512,0,0.745438,2.36376,1,
3.64,94998,1517,0,0.745827,2.36519,1,
3.64667,94993,1522,0,0.744393,2.35874,1,
3.65333,94993,1528,0,0.745436,2.37173,1,
3.66,94993,1531,0,0.744916,2.36904,1,
3.66667,94990,1536,0,0.744561,2.36979,1,
3.67333,94984,1545,0,0.745476,2.37864,1,
3.68,94983,1548,0,0.745084,2.37661,1,
3.68667,94979,1554,0,0.745083,2.37967,1,
3.69333,94978,1562,0,0.744547,2.38348,1,
3.7,94978,1568,0,0.74233,2.37564,1,
3.70667,94974,1577,0,0.744457,2.38935,1,
3.71333,94970,1589,0,0.743751,2.38515,1,
3.72,94964,1604,0,0.742364,2.38279,1,
3.72667,94959,1610,0,0.741799,2.3882,1,
3.73333,94957,1615,0,0.743175,2.4,1,
3.74,94955,1618,0,0.742854,2.39802,1,
3.74667,94954,1622,0,0.743347,2.39396,1,
3.75333,94953,1627,0,0.742785,2.39582,1,
